tw_id,text,location,long,lat
972959709920546817,@HeuristicLineup Golf was exciting exactly one time. The 2008 US Open when Tiger played on a bum knee and had the p? https://t.co/FDRVB1Ro8Q,"Stockton, CA",,
972950200280014849,RT @4elix: I'm hella sick and mocoso today so I'm declaring these next 11-Hours a ME day. What should I eat? What psychological thrillers y?,Los Angeles/La Jolla,,
972948121528320000,@espn Not sure how I feel about all the baby kissing during this particular flu season but he is an announcer and t? https://t.co/fZ8earmFyR,"Petaluma, CA",,
972944723387154432,@GoonerBay I wish. I have the flu. And the moist cake will just irritate my throat and make me cough more ?,"San Francisco, CA",,
972944269190336513,Here's what to do if you get a nasty flu this year: https://t.co/zVuCaPLCA1,"San Francisco, CA",,
972935706703089664,RT @trchealthcare: https://t.co/AZNim5kDsw CDC has released recommendations for influenza vaccines for the 2017-2018 influenza season.?Down?,"Chandler, AZ",,
972925639069192192,RT @POPSUGARFitness: Follow these expert tips to steer clear of the flu. https://t.co/0TlOzybAog,"Brooklyn, NY",,
972917947546050560,RT @CityShawn: Listen to City Shawn - FLU FLAMMING FREESTYLE by CityShawn #np on #SoundCloud https://t.co/i3M9Dn8BrU,"San Jose, CA",,
972917932945747968,"Summer is here but flu season also having gone yet. Please take care yourself everyone. 
Model:? https://t.co/HI9VCq2LKa",San Francisco ,,
972917107196219393,RT @916drek: Nigga wtf is a flu flamer? You niggas will listen to anything i swear ?????,,,
972915327989362689,Follow these expert tips to steer clear of the flu. https://t.co/0TlOzybAog,"San Francisco, CA",,
972912493767966720,RT @CityShawn: Listen to City Shawn - FLU FLAMMING FREESTYLE by CityShawn #np on #SoundCloud https://t.co/i3M9Dn8BrU,"San Jose, CA",,
972909019512807424,@k1ngdeezy @4EvaCashh @EazyTaughtMee I put that Marcus i would reject it ... it don?t make sense bro ... i don?t ge? https://t.co/PzK5hKheyk,"Sacramento, CA",,
972908837370961920,Listen to City Shawn - FLU FLAMMING FREESTYLE by CityShawn #np on #SoundCloud https://t.co/i3M9Dn8BrU,"San Jose, CA",,
972908817292775424,@916drek @4EvaCashh @EazyTaughtMee Yea cuz I done heard that shit for years now... but if mozzy came up saying flu? https://t.co/J25kKxGIbc,"Sacramento, CA",,
972908710023520257,@k1ngdeezy @4EvaCashh @EazyTaughtMee Flu flaming is a song and bladadah is a song... my point is bladadah makes more sense,"Sacramento, CA",,
972908564133003264,@k1ngdeezy @4EvaCashh @EazyTaughtMee But u keep using yicki when that?s just a word Mozzy been saying ... u know bl? https://t.co/CSKq49mwoa,"Sacramento, CA",,
972908312118226944,Filling up my lungs with fog to help displace any remaining flu germs @ Aquatic Park Historic? https://t.co/NYNS5CiMrU,"San Francisco, CA",,
972906785051824128,@k1ngdeezy It don?t make sense you nerd! I?ve heard choppas spit and bladadah makes sense.... HOW THE FUCK DOES FLU? https://t.co/v2yCNWgmNw,"Sacramento, CA",,
972905857603198976,"I created a new word.  It?s ?pestiphone?: a word or phrase that sounds like the name of a disease, but isn?t

Examp? https://t.co/2QryaeTIWJ","San Jose, CA",,
972903261928800256,The flu got me! Ugh,"San Francisco, CA",,
972902302934708224,@EazyTaughtMee And when i tell you it?s mimicking a gun sound it makes sense to most people ... how the hell does f? https://t.co/REXRAttvqJ,"Sacramento, CA",,
972897386463870976,@EazyTaughtMee Lingo?? Lmao nigga Mozzy got lingo .... bladadah makes sense .. flu flaming don?t bro ?????,"Sacramento, CA",,
972890998434156545,"No flu here, but we've both had miserable colds which are finally winding down.  I choose to believe it was my... https://t.co/OChNSIZKar",Silicon Valley,,
972890483843244032,This is what happens after being in bed with flu and pneumonia for 5 days! ? https://t.co/DrE3wYxWCy,"San Francisco, CA",,
972889630512005120,Nigga wtf is a flu flamer? You niggas will listen to anything i swear ?????,"Sacramento, CA",,
972877728356724736,These sewing plans @notaprimarycolor has using my Improv fabric makes me incredibly happy. Around Town hits stores? https://t.co/HApbuT6nYi,"Sacramento, CA",,
972875636527153152,@MrZebadey @RT_com Flu United https://t.co/YRaKQp9QLz,"Fremont, CA",,
972873626805571585,I watched a stranger get a flu shot in the middle of CVS and my arm automatically started throbbing,Stockton,,
972872748157493249,I aint got the Flu yet kuz i got the strength of the black panther,"Sacramento, CA",,
972868910084222978,RT @trchealthcare: https://t.co/AZNim5kDsw CDC has released recommendations for influenza vaccines for the 2017-2018 influenza season.?Down?,"Austin, TX",,
972867426567192582,Are you suffering with a cough? Have the flu? Try this and come in for a #chiropractic? https://t.co/oJLiYWDE99,"Fremont, CA",-121.97865,37.55838
972855377178972160,got the flu and I want to die?,bae area,,
972855282794618880,@Aluminum_Iodide I had a sudden fear that the flu became transmissible through tweet viewing. Phew the eye pain is only my hangover.,"San Jose, CA",,
972827398214316032,@ChrisGrammz Then you got the flu flammers,"San Francisco, CA",,
972826721589194752,RT @PisstolPetee: You can hear all the flu flammers in des joints https://t.co/y7dj2FU7nG,,,
972819945254875137,You can hear all the flu flammers in des joints https://t.co/y7dj2FU7nG,"San Francisco, CA",,
972811883286642688,Why you should be worried about flu-related complications this season: https://t.co/kObbcLR8Tp https://t.co/aIo0gu8dF3,"San Francisco, CA",,
972785637848883202,this is starting to feel suspiciously like the real flu ? ? ?,San Francisco,,
972780732404793344,Y'all this flu/cold bug is not a joke. I don't remember the last time I felt this yucky. ?,"Oakland, CA",,
972753875965849603,RT @ComatoseSosa: Please stop giving people who are intellectually inept platforms to speak. This is how stupidity spreads like the flu in?,"Abbotsford, British Columbia",,
972736503842594819,@sjredmond When I follow people sometimes it is like catching a flu.  I need to get rid of the crap.,"San Francisco, CA",,
972711596920197120,RT @joboaler: I am stuck at home with flu so I thought I would muse about the most important principles of teaching maths. Let me know what?,,,
972711533909168128,RT @RoryPlays_: Oh my GOSH did my patient just puke on me?! Am I now infected with the Llama Flu?! #TheSimsMobile #PatientZero https://t.co?,,,
972708956492591104,@HangoutMets I have the flu and have nothing better to do.,"San Francisco, CA",,
972703930189623296,"Completed my annual flu + paranoia ritual today: woke up with fever and headache, spent 3 hours feeling convinced t? https://t.co/aDbqdllmeB","Sacramento, CA",,
972687538166022144,@ananavarro Root canal? The flu; grading 150 essays ; PD with a long winded self absorbed admin,"San Francisco, CA",,
972684522767593472,RT @RoryPlays_: Oh my GOSH did my patient just puke on me?! Am I now infected with the Llama Flu?! #TheSimsMobile #PatientZero https://t.co?,"Delta, British Columbia",,
972682863249412096,@_drgo I?m certain beyond a reasonable doubt. Would you be certain of intent if your old mentor stated hacking off limbs to treat a flu?,"San Jose, CA",,
972675572399726592,RT @joboaler: I am stuck at home with flu so I thought I would muse about the most important principles of teaching maths. Let me know what?,"Chula Vista, CA",,
972672731077517312,@yamthah @expmayo Pretty sure I got the flu from ikea cuz the exposure to so many peoples germs. But the meatballs are good.,"Livermore, CA",,
972670008772956162,I liked a @YouTube video https://t.co/yLjpq3qQWa THE BIG ONE IS COMING - KILLER FLU Could Wipe Out 300 MILLION FAST!!!,Oakland Ca,,
972662301013585920,Blamped for 100 flu flamin big unchies,"Santa Cruz, CA",,
972655159082913792,RT @RoryPlays_: Oh my GOSH did my patient just puke on me?! Am I now infected with the Llama Flu?! #TheSimsMobile #PatientZero https://t.co?,"Texas, USA",,
972652234323316736,Oh my GOSH did my patient just puke on me?! Am I now infected with the Llama Flu?! #TheSimsMobile #PatientZero https://t.co/eWTkSnfAv6,"San Francisco, CA",,
972643021245370368,Where?s the Flu? New Apps Can Pinpoint Illness Outbreaks https://t.co/B6N3TW1tgn https://t.co/qnESco2bk5,"San Francisco, CA",,
972632130860720128,It ain?t love if you don?t risk the flu to take care of your bf/gf when they?re super sick ?,bay area ,,
972627933042012161,"I added a video to a @YouTube playlist https://t.co/mIHlQAuoyg Drakeo The Ruler ""Flu Flamming"" (WSHH Exclusive - Official Music Video)","PittsBurg ,Ca",,
972621420596465664,"RT @cabanam: This deadly #flu season has peaked, but a late bump could loom. @UCSFHospitals @UCSFChildrens @UCSFBenioffOAK @DrPanMD @Diasse?","Greenbrae, CA and Novato, CA ",,
972617594317369344,"I have the stomach flu and they dismissed everyone from the SAT at 3,, BINCH IS THIS ALLOWED","San Francisco, CA",,
972612444433592324,RT @POPSUGARFitness: Have you ever had the keto flu? It's really rough. https://t.co/kl2rzp6ko2,London * Reading * United Kingdom,,
972611852483080192,Experts: Flu on the decline -- but danger not over https://t.co/YxQ5k2E9N9 https://t.co/E3MfYt9JQL,"Sacramento, CA",,
972600761287888896,Have you ever had the keto flu? It's really rough. https://t.co/kl2rzp6ko2,"San Francisco, CA",,
972599870807838720,RT @womensfunding: throughout history women have been first responders in times of crisis. Result: Leadership &amp; financial independence  htt?,"Rhode Island, USA",,
972581341861634048,18 'Hacks' That Help People With Chronic Illness Avoid Catching the Flu https://t.co/RxUBU1Af73,"Sacramento, CA",,
972578186809626624,I'm hella sick and mocoso today so I'm declaring these next 11-Hours a ME day. What should I eat? What psychologica? https://t.co/fJKO5FDvzL,"Sonoma, Ca",,
972576219752488965,"been dodging the flu so far this year, but last night i musta caught something...?",San Francisco,,
972574821887422465,Flu App Locates Disease Outbreaks https://t.co/2uP3fliJZi https://t.co/Go9Q4nzb8d,"San Francisco, CA",,
972562748210020357,"Many people depend on Tamiflu to fight the flu, but does it work? 
 https://t.co/AhgL5kH4tw","San Francisco, California",,
972550090643640321,RT @ABC10: Experts: Flu on the decline -- but danger not over https://t.co/YCIAOgyCa0 https://t.co/NkV8XI1Zww,"Atherton, CA",,
972547539970019329,How vaccination is helping to prevent another flu pandemic https://t.co/Eu3MJlyrkD,"San Jose, CA",,
972547305202225152,Anyone else have the flu that seems to last forever??!,Cool Ca.,,
972546703113900032,High fever flu 5 days before a paper deadline. Perfect timing!,"Santa Cruz, CA",,
972545530994839552,@ScottAnthonyUSA @DawnVLion Nightmare. SW MISSOURI HAD #MUMPS BREAKOUT WINTER 2016-2017 VERY SUSPICIOUS &amp;NOW HAS? https://t.co/x2QGNm0c4d,"Woodside, CA",,
972543892917800960,Experts: Flu on the decline -- but danger not over https://t.co/YCIAOgyCa0 https://t.co/NkV8XI1Zww,"Sacramento, CA",,
972543086701064194,When your roommate gives you supplies to relieve your flu stress ????? https://t.co/oV0ebMwOyO,"Monterey, CA",,
972542863035727873,A Prayer of Thanksgiving for Recovery from the Flu: https://t.co/5F642afmyB https://t.co/jSlqoselxc,"San Leandro, CA",,
972542821000470528,I hope my son doesn?t have the flu ?,Somewhere you're not,,
972542291939217408,I think I have the stomach flu ?,"Woodland, CA",,
972541684876636161,"Pernice Jr. sheds flu bug for birdie bug at Toshiba Classic
 https://t.co/bpiLvIkX6l","San Francisco, CA",,
972537434272493568,"How to Use Ginger to Lose Weight, Fight Cellulite and Prevent Flu #Topbuzz https://t.co/k81XXexcFm",Sacramento,,
972532827714662402,Time to stock up on ginger and peppermint! https://t.co/KQBkq9oJlB,"San Francisco, CA",,
972525262289195009,Here's what to do if you get a nasty flu this year: https://t.co/zVuCaPLCA1,"San Francisco, CA",,
972511796689960961,"I also got a tetanus shot and a flu shot yesterday, both for the first time in about a decade, so my blood's getting quite the workout.",San Francisco,,
972505703230291968,"@kevinduffy999 @BNick @CRTV @NateMaddenCRTV Attack the government's ""population control."" Where 500 million of our? https://t.co/824PVKjSeK",San Jose,,
972496701066944513,"RT @KPbewelldoc: ??#Influenza B is still hitting hard especially #school-age #kids.
Keep them at home till 24 hrs after they no longer have?","Long Beach, CA",,
972490107570749440,RT @ComatoseSosa: Please stop giving people who are intellectually inept platforms to speak. This is how stupidity spreads like the flu in?,Maryland,,
972489557131264000,RT @ComatoseSosa: Please stop giving people who are intellectually inept platforms to speak. This is how stupidity spreads like the flu in?,#DMV,,
972486017860091904,@Mr_Apocalypse I understand. Ive been sick with the flu for 3 days now. Get well soon dude!,"San Jose, CA",,
972476008933810176,RT @ABC10: Experts: Flu on the decline -- but danger not over https://t.co/HlEDlimFQV https://t.co/WOrH0cRQ5z,near chi-town ,,
972475968907546625,Experts: Flu on the decline -- but danger not over https://t.co/HlEDlimFQV https://t.co/WOrH0cRQ5z,"Sacramento, CA",,
972466158778580994,Obama Is Like A Flu Shot https://t.co/G3NLVZS2dY,"San Francisco, CA",,
972463589478096896,RT @ComatoseSosa: Please stop giving people who are intellectually inept platforms to speak. This is how stupidity spreads like the flu in?,Jawja,,
972449817707233280,"RT @DrPanMD: ""The #flu has been spreading quickly in California ? and it?s not over yet. A late-season strain is going... https://t.co/nvll?","Whitby, Ontario, Canada",,
972444266223079424,RT @ComatoseSosa: Please stop giving people who are intellectually inept platforms to speak. This is how stupidity spreads like the flu in?,"Virginia, USA",,
972418840624644096,RT @KQEDscience: ICYMI: US Panel Says it?s Okay to Use Nasal Spray Flu Vaccine Again https://t.co/pumgKgxJR5 #FutureOfYou https://t.co/3KNn?,The Cloververse,,
972415549178302464,"RT @DrPanMD: ""The #flu has been spreading quickly in California ? and it?s not over yet. A late-season strain is going... https://t.co/nvll?","Pittsburgh, PA",,
972370657957765120,@sober__society @robertklevens @CRTV @NateMaddenCRTV Haha. There's big ass spiders there. I believe there's a deepe? https://t.co/uFam4F6jGa,San Jose,,
972369840202702848,Harsh flu season has finally passed its peak but remains deadly https://t.co/aUUF86sTNO via @usatoday,"Salinas, California",,
972367615309082624,Sick with the flu so naturally daydreaming of warm summer days in Paris avec mes amours?//? https://t.co/VKu3MpCGgI,"San Francisco, CA",,
972365902632116224,Thanksgiving for Recovery from the Flu ? Coffee Shop Rabbi https://t.co/5F642afmyB https://t.co/UuOIA87LN5,"San Leandro, CA",,
972362582173483008,@DrillbitTaylor2 @REALStaceyDash Must be the flu.....,"Oakland, CA",,
972361726774538240,@christibauerlee @REALStaceyDash You've had a fever for 3 weeks? Maybe it's not the flu.,"Oakland, CA",,
972343307396292608,"RT @DrPanMD: ""The #flu vaccine?s arguably more important purpose is preventing flu hospitalizations and deaths.... getting... https://t.co/?","Bakersfield, CA",,
972338815057588225,I?m too sick to go on vacation cuz Kaiser made me get a flu shot now I?m just gonna watch Survivor all weekend I?m pissed,"San Francisco, CA",,
